,Stop ID,Stop Latitude,Stop Longitude,Stop Name,Suburb,Location,distance_next_stop,distance_suburb_center
48,1269,-35.358208000000005,149.04788200000002,NAMATJIRA DR AFTER PERRY DR,CHAPMAN,"(-35.358208, 149.047882)",0.030430740979171585,12347.594155420382
49,1270,-35.360443,149.047653,NAMATJIRA DR AFTER KAPUNDA ST,CHAPMAN,"(-35.360443, 149.047653)",0.021616953595953194,12347.72648914237
50,1271,-35.36356,149.049606,NAMATJIRA DR 3RD FROM DRAKEFORD DR,CHAPMAN,"(-35.36356, 149.049606)",0.012944294779102285,12347.727810174045
51,4208,-35.203167,149.02787800000002,LHOTSKY ST AFTER CARTWRIGHT ST,CHARNWOOD,"(-35.203167, 149.027878)",0.026330838580022938,0.9008227746143552
52,4209,-35.201019,149.027161,LHOTSKY ST BEFORE SPORT WY,CHARNWOOD,"(-35.201019, 149.027161)",0.03107837801735863,0.901424023872215
53,4206,-35.205486,149.032501,LHOTSKY ST CHARNWOOD SHOPS,CHARNWOOD,"(-35.205486, 149.032501)",0.0656051258239554,0.7345441786222311
54,2000,-35.353077,149.080521,EGGLESTONE AFTER MACLAURIN,CHIFLEY,"(-35.353077, 149.080521)",0.024046925915454768,0.33127680795214565
55,262,-35.351879,149.08403,EGGLESTON CR 2ND AFTER MACLAURIN CR,CHIFLEY,"(-35.351879, 149.08403)",0.016573245152354255,0.5735848109464974
56,263,-35.352028000000004,149.08403,EGGLESTON CR AFTER MELROSE DR,CHIFLEY,"(-35.352028, 149.08403)",0.016573245152354255,0.5762856384459121
57,1500,-35.418312,149.11557,BEATTIE CR AFTER GOLDSTEIN CR,CHISHOLM,"(-35.418312, 149.11557)",0.04530774453533361,0.9048227603168731
58,1003,-35.418968,149.120026,HAMBIDGE CR AFTER TRUGANINI PL,CHISHOLM,"(-35.418968, 149.120026)",0.007963838842716002,0.6202417862898544
59,1121,-35.429241,149.121445,DEAMER CR AFTER CLIFT CR,CHISHOLM,"(-35.429241, 149.121445)",0.04743649278413984,0.5724233144348928
60,8831,-35.278988,149.12886,CITY BUS STN NORTHBOURNE AV PLT 11,CITY,"(-35.278988, 149.12886)",0.05272750657510712,3.1969337548247614
61,1821,-35.279144,149.12558,CITY WEST PLATFORM 1,CITY,"(-35.279144, 149.12558)",0.16478930154847335,3.155799931332496
62,1723,-35.278553,149.1306,CITY BUS STN ARRIVALS,CITY,"(-35.278553, 149.1306)",0.0220026221387955,3.2683351363113107
63,6018,-35.465488,149.106583,TEMPLESTOWE AV AFTER HUMPHREY ST,CONDER,"(-35.465488, 149.106583)",0.06326320294311925,1.203104501883814
64,6015,-35.466454,149.10853600000002,TEMPLESTOWE AV AFTER 2ND MONTEFIORE CR,CONDER,"(-35.466454, 149.108536)",0.010960786996911035,1.4058847654159226
65,6016,-35.466518,149.108444,TEMPLESTOWE AV AFTER KOHLHAGEN ST,CONDER,"(-35.466518, 149.108444)",0.010960786996911035,1.404491837595833
66,4512,-35.256199,149.066132,REDFERN ST 2ND BEFORE LYTTLETON CR,COOK,"(-35.256199, 149.066132)",0.0123437301690062,0.44165519210332693
67,4514,-35.256001,149.068222,REDFERN ST AFTER DEXTER ST,COOK,"(-35.256001, 149.068222)",0.024007424479941933,0.5711243112460331
68,4645,-35.260684999999995,149.072556,LYTTLETON CR AFTER BOURNE ST,COOK,"(-35.260685, 149.072556)",0.025368021438724155,0.7944214193241438
69,2812,-35.325386,149.044632,JOHN GORTON DR AFTER HAROLD WHITE AVE,COOMBS,"(-35.325386, 149.044632)",0.13203156548730277,0.7207466903973061
70,2810,-35.320015000000005,149.037918,JOHN GORTON DR AFTER FRED DALY AVE,COOMBS,"(-35.320015, 149.037918)",0.08226690406480593,0.6383030143223699
71,3329,-35.319286,149.038071,FRED DALY BEFORE JOHN GORTON,COOMBS,"(-35.319286, 149.038071)",0.04273921625391935,0.6138726133383078
