,Unnamed: 0,Stop ID,Stop Latitude,Stop Longitude,Stop Name,Suburb,Location,distance_next_stop,distance_suburb_center,# of Bus Stops (in Suburbs),Population Density,Label
312,,,,,,ACTON,,9.223372036854776e+18,9.223372036854776e+18,,,0
313,,,,,,ACTON,,9.223372036854776e+18,9.223372036854776e+18,,,0
314,,,,,,ACTON,,9.223372036854776e+18,9.223372036854776e+18,,,0
315,,,,,,AINSLIE,,9.223372036854776e+18,9.223372036854776e+18,,,0
316,,,,,,AINSLIE,,9.223372036854776e+18,9.223372036854776e+18,,,0
317,,,,,,AINSLIE,,9.223372036854776e+18,9.223372036854776e+18,,,0
318,,,,,,AMAROO,,9.223372036854776e+18,9.223372036854776e+18,,,0
319,,,,,,AMAROO,,9.223372036854776e+18,9.223372036854776e+18,,,0
320,,,,,,AMAROO,,9.223372036854776e+18,9.223372036854776e+18,,,0
321,,,,,,ARANDA,,9.223372036854776e+18,9.223372036854776e+18,,,0
322,,,,,,ARANDA,,9.223372036854776e+18,9.223372036854776e+18,,,0
323,,,,,,ARANDA,,9.223372036854776e+18,9.223372036854776e+18,,,0
324,,,,,,BANKS,,9.223372036854776e+18,9.223372036854776e+18,,,0
325,,,,,,BANKS,,9.223372036854776e+18,9.223372036854776e+18,,,0
326,,,,,,BANKS,,9.223372036854776e+18,9.223372036854776e+18,,,0
327,,,,,,BARTON,,9.223372036854776e+18,9.223372036854776e+18,,,0
328,,,,,,BARTON,,9.223372036854776e+18,9.223372036854776e+18,,,0
329,,,,,,BARTON,,9.223372036854776e+18,9.223372036854776e+18,,,0
330,,,,,,BELCONNEN,,9.223372036854776e+18,9.223372036854776e+18,,,0
331,,,,,,BELCONNEN,,9.223372036854776e+18,9.223372036854776e+18,,,0
332,,,,,,BELCONNEN,,9.223372036854776e+18,9.223372036854776e+18,,,0
333,,,,,,BONNER,,9.223372036854776e+18,9.223372036854776e+18,,,0
334,,,,,,BONNER,,9.223372036854776e+18,9.223372036854776e+18,,,0
335,,,,,,BONNER,,9.223372036854776e+18,9.223372036854776e+18,,,0
336,,,,,,BONYTHON,,9.223372036854776e+18,9.223372036854776e+18,,,0
337,,,,,,BONYTHON,,9.223372036854776e+18,9.223372036854776e+18,,,0
338,,,,,,BONYTHON,,9.223372036854776e+18,9.223372036854776e+18,,,0
339,,,,,,BRADDON,,9.223372036854776e+18,9.223372036854776e+18,,,0
340,,,,,,BRADDON,,9.223372036854776e+18,9.223372036854776e+18,,,0
341,,,,,,BRADDON,,9.223372036854776e+18,9.223372036854776e+18,,,0
342,,,,,,BRUCE,,9.223372036854776e+18,9.223372036854776e+18,,,0
343,,,,,,BRUCE,,9.223372036854776e+18,9.223372036854776e+18,,,0
344,,,,,,BRUCE,,9.223372036854776e+18,9.223372036854776e+18,,,0
345,,,,,,CALWELL,,9.223372036854776e+18,9.223372036854776e+18,,,0
346,,,,,,CALWELL,,9.223372036854776e+18,9.223372036854776e+18,,,0
347,,,,,,CALWELL,,9.223372036854776e+18,9.223372036854776e+18,,,0
348,,,,,,CAMPBELL,,9.223372036854776e+18,9.223372036854776e+18,,,0
349,,,,,,CAMPBELL,,9.223372036854776e+18,9.223372036854776e+18,,,0
350,,,,,,CAMPBELL,,9.223372036854776e+18,9.223372036854776e+18,,,0
351,,,,,,CANBERRA AIRPORT,,9.223372036854776e+18,0.0,,,0
352,,,,,,CANBERRA AIRPORT,,9.223372036854776e+18,0.0,,,0
353,,,,,,CANBERRA AIRPORT,,9.223372036854776e+18,0.0,,,0
354,,,,,,CAPITAL HILL,,9.223372036854776e+18,9.223372036854776e+18,,,0
355,,,,,,CAPITAL HILL,,9.223372036854776e+18,9.223372036854776e+18,,,0
356,,,,,,CAPITAL HILL,,9.223372036854776e+18,9.223372036854776e+18,,,0
357,,,,,,CASEY,,9.223372036854776e+18,9.223372036854776e+18,,,0
358,,,,,,CASEY,,9.223372036854776e+18,9.223372036854776e+18,,,0
359,,,,,,CASEY,,9.223372036854776e+18,9.223372036854776e+18,,,0
360,,,,,,CHAPMAN,,9.223372036854776e+18,9.223372036854776e+18,,,0
361,,,,,,CHAPMAN,,9.223372036854776e+18,9.223372036854776e+18,,,0
362,,,,,,CHAPMAN,,9.223372036854776e+18,9.223372036854776e+18,,,0
363,,,,,,CHARNWOOD,,9.223372036854776e+18,9.223372036854776e+18,,,0
364,,,,,,CHARNWOOD,,9.223372036854776e+18,9.223372036854776e+18,,,0
365,,,,,,CHARNWOOD,,9.223372036854776e+18,9.223372036854776e+18,,,0
366,,,,,,CHIFLEY,,9.223372036854776e+18,9.223372036854776e+18,,,0
367,,,,,,CHIFLEY,,9.223372036854776e+18,9.223372036854776e+18,,,0
368,,,,,,CHIFLEY,,9.223372036854776e+18,9.223372036854776e+18,,,0
369,,,,,,CHISHOLM,,9.223372036854776e+18,9.223372036854776e+18,,,0
370,,,,,,CHISHOLM,,9.223372036854776e+18,9.223372036854776e+18,,,0
371,,,,,,CHISHOLM,,9.223372036854776e+18,9.223372036854776e+18,,,0
372,,,,,,CITY,,9.223372036854776e+18,9.223372036854776e+18,,,0
373,,,,,,CITY,,9.223372036854776e+18,9.223372036854776e+18,,,0
374,,,,,,CITY,,9.223372036854776e+18,9.223372036854776e+18,,,0
375,,,,,,CONDER,,9.223372036854776e+18,9.223372036854776e+18,,,0
376,,,,,,CONDER,,9.223372036854776e+18,9.223372036854776e+18,,,0
377,,,,,,CONDER,,9.223372036854776e+18,9.223372036854776e+18,,,0
378,,,,,,COOK,,9.223372036854776e+18,9.223372036854776e+18,,,0
379,,,,,,COOK,,9.223372036854776e+18,9.223372036854776e+18,,,0
380,,,,,,COOK,,9.223372036854776e+18,9.223372036854776e+18,,,0
381,,,,,,COOMBS,,9.223372036854776e+18,9.223372036854776e+18,,,0
382,,,,,,COOMBS,,9.223372036854776e+18,9.223372036854776e+18,,,0
383,,,,,,COOMBS,,9.223372036854776e+18,9.223372036854776e+18,,,0
384,,,,,,CRACE,,9.223372036854776e+18,9.223372036854776e+18,,,0
385,,,,,,CRACE,,9.223372036854776e+18,9.223372036854776e+18,,,0
386,,,,,,CRACE,,9.223372036854776e+18,9.223372036854776e+18,,,0
387,,,,,,CURTIN,,9.223372036854776e+18,9.223372036854776e+18,,,0
388,,,,,,CURTIN,,9.223372036854776e+18,9.223372036854776e+18,,,0
389,,,,,,CURTIN,,9.223372036854776e+18,9.223372036854776e+18,,,0
390,,,,,,DEAKIN,,9.223372036854776e+18,9.223372036854776e+18,,,0
391,,,,,,DEAKIN,,9.223372036854776e+18,9.223372036854776e+18,,,0
392,,,,,,DEAKIN,,9.223372036854776e+18,9.223372036854776e+18,,,0
393,,,,,,DICKSON,,9.223372036854776e+18,9.223372036854776e+18,,,0
394,,,,,,DICKSON,,9.223372036854776e+18,9.223372036854776e+18,,,0
395,,,,,,DICKSON,,9.223372036854776e+18,9.223372036854776e+18,,,0
396,,,,,,DOWNER,,9.223372036854776e+18,9.223372036854776e+18,,,0
397,,,,,,DOWNER,,9.223372036854776e+18,9.223372036854776e+18,,,0
398,,,,,,DOWNER,,9.223372036854776e+18,9.223372036854776e+18,,,0
399,,,,,,DUFFY,,9.223372036854776e+18,9.223372036854776e+18,,,0
400,,,,,,DUFFY,,9.223372036854776e+18,9.223372036854776e+18,,,0
401,,,,,,DUFFY,,9.223372036854776e+18,9.223372036854776e+18,,,0
402,,,,,,DUNLOP,,9.223372036854776e+18,9.223372036854776e+18,,,0
403,,,,,,DUNLOP,,9.223372036854776e+18,9.223372036854776e+18,,,0
404,,,,,,DUNLOP,,9.223372036854776e+18,9.223372036854776e+18,,,0
405,,,,,,EVATT,,9.223372036854776e+18,9.223372036854776e+18,,,0
406,,,,,,EVATT,,9.223372036854776e+18,9.223372036854776e+18,,,0
407,,,,,,EVATT,,9.223372036854776e+18,9.223372036854776e+18,,,0
408,,,,,,FADDEN,,9.223372036854776e+18,9.223372036854776e+18,,,0
409,,,,,,FADDEN,,9.223372036854776e+18,9.223372036854776e+18,,,0
410,,,,,,FADDEN,,9.223372036854776e+18,9.223372036854776e+18,,,0
411,,,,,,FARRER,,9.223372036854776e+18,9.223372036854776e+18,,,0
412,,,,,,FARRER,,9.223372036854776e+18,9.223372036854776e+18,,,0
413,,,,,,FARRER,,9.223372036854776e+18,9.223372036854776e+18,,,0
414,,,,,,FISHER,,9.223372036854776e+18,9.223372036854776e+18,,,0
415,,,,,,FISHER,,9.223372036854776e+18,9.223372036854776e+18,,,0
416,,,,,,FISHER,,9.223372036854776e+18,9.223372036854776e+18,,,0
417,,,,,,FLOREY,,9.223372036854776e+18,9.223372036854776e+18,,,0
418,,,,,,FLOREY,,9.223372036854776e+18,9.223372036854776e+18,,,0
419,,,,,,FLOREY,,9.223372036854776e+18,9.223372036854776e+18,,,0
420,,,,,,FLYNN,,9.223372036854776e+18,9.223372036854776e+18,,,0
421,,,,,,FLYNN,,9.223372036854776e+18,9.223372036854776e+18,,,0
422,,,,,,FLYNN,,9.223372036854776e+18,9.223372036854776e+18,,,0
423,,,,,,FORDE,,9.223372036854776e+18,9.223372036854776e+18,,,0
424,,,,,,FORDE,,9.223372036854776e+18,9.223372036854776e+18,,,0
425,,,,,,FORDE,,9.223372036854776e+18,9.223372036854776e+18,,,0
426,,,,,,FORREST,,9.223372036854776e+18,9.223372036854776e+18,,,0
427,,,,,,FORREST,,9.223372036854776e+18,9.223372036854776e+18,,,0
428,,,,,,FORREST,,9.223372036854776e+18,9.223372036854776e+18,,,0
429,,,,,,FRANKLIN,,9.223372036854776e+18,9.223372036854776e+18,,,0
430,,,,,,FRANKLIN,,9.223372036854776e+18,9.223372036854776e+18,,,0
431,,,,,,FRANKLIN,,9.223372036854776e+18,9.223372036854776e+18,,,0
432,,,,,,FRASER,,9.223372036854776e+18,9.223372036854776e+18,,,0
433,,,,,,FRASER,,9.223372036854776e+18,9.223372036854776e+18,,,0
434,,,,,,FRASER,,9.223372036854776e+18,9.223372036854776e+18,,,0
435,,,,,,FYSHWICK,,9.223372036854776e+18,9.223372036854776e+18,,,0
436,,,,,,FYSHWICK,,9.223372036854776e+18,9.223372036854776e+18,,,0
437,,,,,,FYSHWICK,,9.223372036854776e+18,9.223372036854776e+18,,,0
438,,,,,,GARRAN,,9.223372036854776e+18,9.223372036854776e+18,,,0
439,,,,,,GARRAN,,9.223372036854776e+18,9.223372036854776e+18,,,0
440,,,,,,GARRAN,,9.223372036854776e+18,9.223372036854776e+18,,,0
441,,,,,,GILMORE,,9.223372036854776e+18,9.223372036854776e+18,,,0
442,,,,,,GILMORE,,9.223372036854776e+18,9.223372036854776e+18,,,0
443,,,,,,GILMORE,,9.223372036854776e+18,9.223372036854776e+18,,,0
444,,,,,,GIRALANG,,9.223372036854776e+18,9.223372036854776e+18,,,0
445,,,,,,GIRALANG,,9.223372036854776e+18,9.223372036854776e+18,,,0
446,,,,,,GIRALANG,,9.223372036854776e+18,9.223372036854776e+18,,,0
447,,,,,,GORDON,,9.223372036854776e+18,9.223372036854776e+18,,,0
448,,,,,,GORDON,,9.223372036854776e+18,9.223372036854776e+18,,,0
449,,,,,,GORDON,,9.223372036854776e+18,9.223372036854776e+18,,,0
450,,,,,,GOWRIE,,9.223372036854776e+18,9.223372036854776e+18,,,0
451,,,,,,GOWRIE,,9.223372036854776e+18,9.223372036854776e+18,,,0
452,,,,,,GOWRIE,,9.223372036854776e+18,9.223372036854776e+18,,,0
453,,,,,,GREENWAY,,9.223372036854776e+18,9.223372036854776e+18,,,0
454,,,,,,GREENWAY,,9.223372036854776e+18,9.223372036854776e+18,,,0
455,,,,,,GREENWAY,,9.223372036854776e+18,9.223372036854776e+18,,,0
456,,,,,,GRIFFITH,,9.223372036854776e+18,9.223372036854776e+18,,,0
457,,,,,,GRIFFITH,,9.223372036854776e+18,9.223372036854776e+18,,,0
458,,,,,,GRIFFITH,,9.223372036854776e+18,9.223372036854776e+18,,,0
459,,,,,,GUNGAHLIN,,9.223372036854776e+18,9.223372036854776e+18,,,0
460,,,,,,GUNGAHLIN,,9.223372036854776e+18,9.223372036854776e+18,,,0
461,,,,,,GUNGAHLIN,,9.223372036854776e+18,9.223372036854776e+18,,,0
462,,,,,,HACKETT,,9.223372036854776e+18,9.223372036854776e+18,,,0
463,,,,,,HACKETT,,9.223372036854776e+18,9.223372036854776e+18,,,0
464,,,,,,HACKETT,,9.223372036854776e+18,9.223372036854776e+18,,,0
465,,,,,,HARRISON,,9.223372036854776e+18,9.223372036854776e+18,,,0
466,,,,,,HARRISON,,9.223372036854776e+18,9.223372036854776e+18,,,0
467,,,,,,HARRISON,,9.223372036854776e+18,9.223372036854776e+18,,,0
468,,,-35.248073600000005,149.036093,,HAWKER,,0.05706163201286117,0.4850914975894679,,,0
469,,,-35.248003600000004,149.0354707,,HAWKER,,0.05706163201286117,0.5010981646708709,,,0
470,,,-35.2449281,149.0348592,,HAWKER,,0.346567934015265,0.30341533241030877,,,0
471,,,-35.232001700000005,149.0221008,,HIGGINS,,0.14911345918711758,0.46593112180557805,,,0
472,,,-35.2326196,149.0298043,,HIGGINS,,0.3068785455650706,0.2387456700740214,,,0
473,,,-35.235572600000005,149.02177930000002,,HIGGINS,,0.3982631827729049,0.6192019715307439,,,0
474,,,-35.333151,149.04356,,HOLDER,,0.3693317643360282,0.34277571811820945,,,0
475,,,-35.338770000000004,149.04699399999998,,HOLDER,,0.34853623864388744,0.35730257918693625,,,0
476,,,-35.338735,149.050835,,HOLDER,,0.25488294339306694,0.6106251484836224,,,0
477,,,-35.227795,149.01069099999998,,HOLT,,0.5468948144298296,0.580132893573144,,,0
478,,,-35.220696000000004,149.008868,,HOLT,,0.3165716456784464,0.6987878154457497,,,0
479,,,-35.223781,149.007215,,HOLT,,0.2337117825170861,0.7338938473363148,,,0
480,,,-35.331542999999996,149.089259,,HUGHES,,0.005912615337716377,0.45972317032204435,,,0
481,,,-35.32813,149.088777,,HUGHES,,0.06052913622596822,0.7197667669264075,,,0
482,,,-35.336926,149.093969,,HUGHES,,0.6718646240098082,0.4366973849026043,,,0
483,,,-35.392213,149.165317,,HUME,,0.09472153474340751,0.7187071872326465,,,0
484,,,-35.380947,149.178277,,HUME,,1.1356074898572932,1.0083116999095652,,,0
485,,,-35.400574,149.156584,,HUME,,1.1268579790547213,1.9389201941082401,,,0
486,,,-35.360966,149.111554,,ISAACS,,0.28408983711368613,0.726929818918013,,,0
487,,,-35.369365,149.113893,,ISAACS,,0.232275926949623,0.3075961298803412,,,0
488,,,-35.38107,149.117862,,ISAACS,,1.3507911915049458,1.619539343733219,,,0
489,,,-35.422103,149.093902,,ISABELLA PLAINS,,0.48826380818295284,0.6634293550722423,,,0
490,,,-35.430356,149.095319,,ISABELLA PLAINS,,0.47739521750374075,0.263647565987108,,,0
491,,,-35.432472,149.101305,,ISABELLA PLAINS,,0.41888225843798,0.7576066633838682,,,0
492,,,-35.22915,149.104501,,KALEEN,,0.5162604894929013,0.9166981852457592,,,0
493,,,-35.214215,149.1095,,KALEEN,,1.1173586762983727,0.8189743100596857,,,0
494,,,-35.222015999999996,149.117247,,KALEEN,,1.1173586762983727,1.028208338207699,,,0
495,,,35.373459000000004,149.041424,,KAMBAH,,2.2739630363588748,7871.502553772556,,,0
496,,,35.393333,149.047303,,KAMBAH,,2.2739630363588748,7873.712940544478,,,0
497,,,-35.385199,149.080434,,KAMBAH,,0.4139426982950612,1.4855333504579622,,,0
