,Unnamed: 0,Stop ID,Stop Latitude,Stop Longitude,Stop Name,Suburb,Location,distance_next_stop,distance_suburb_center,# of Bus Stops (in Suburbs),Population Density,Label
46,46,4843,-35.159519,149.101334,WHITROD AV AFTER KOWALSKI ST,CASEY,"(-35.159519, 149.101334)",0.42258802,1.759385849,0.004683841,0.384615385,1
47,47,4841,-35.163345,149.098083,PLIMSOLL DR BEFORE BOTT CR,CASEY,"(-35.163345, 149.098083)",0.104046392,1.278516616,0.004683841,0.384615385,1
48,48,1269,-35.358208,149.047882,NAMATJIRA DR AFTER PERRY DR,CHAPMAN,"(-35.358208, 149.047882)",0.030430741,12347.59416,0.007416081,0.526315789,1
49,49,1270,-35.360443,149.047653,NAMATJIRA DR AFTER KAPUNDA ST,CHAPMAN,"(-35.360443, 149.047653)",0.021616954,12347.72649,0.007416081,0.526315789,1
50,50,1271,-35.36356,149.049606,NAMATJIRA DR 3RD FROM DRAKEFORD DR,CHAPMAN,"(-35.36356, 149.049606)",0.368300316,12347.72781,0.007416081,0.526315789,1
51,51,4208,-35.203167,149.027878,LHOTSKY ST AFTER CARTWRIGHT ST,CHARNWOOD,"(-35.203167, 149.027878)",0.24764959,0.900822775,0.007806401,0.526315789,1
52,52,4209,-35.201019,149.027161,LHOTSKY ST BEFORE SPORT WY,CHARNWOOD,"(-35.201019, 149.027161)",0.24764959,0.901424024,0.007806401,0.526315789,1
53,53,4206,-35.205486,149.032501,LHOTSKY ST CHARNWOOD SHOPS,CHARNWOOD,"(-35.205486, 149.032501)",0.493025056,0.734544179,0.007806401,0.526315789,1
54,54,2000,-35.353077,149.080521,EGGLESTONE AFTER MACLAURIN,CHIFLEY,"(-35.353077, 149.080521)",0.339045774,0.331276808,0.005464481,0.625,1
55,55,262,-35.351879,149.08403,EGGLESTON CR 2ND AFTER MACLAURIN CR,CHIFLEY,"(-35.351879, 149.08403)",0.016573245,0.573584811,0.005464481,0.625,1
56,56,263,-35.352028,149.08403,EGGLESTON CR AFTER MELROSE DR,CHIFLEY,"(-35.352028, 149.08403)",0.016573245,0.576285638,0.005464481,0.625,1
57,57,1500,-35.418312,149.11557,BEATTIE CR AFTER GOLDSTEIN CR,CHISHOLM,"(-35.418312, 149.11557)",0.410454369,0.90482276,0.016003123,0.322580645,1
58,58,1003,-35.418968,149.120026,HAMBIDGE CR AFTER TRUGANINI PL,CHISHOLM,"(-35.418968, 149.120026)",0.410454369,0.620241786,0.016003123,0.322580645,1
59,59,1121,-35.429241,149.121445,DEAMER CR AFTER CLIFT CR,CHISHOLM,"(-35.429241, 149.121445)",0.500733816,0.572423314,0.016003123,0.322580645,1
60,60,8831,-35.278988,149.12886,CITY BUS STN NORTHBOURNE AV PLT 11,CITY,"(-35.278988, 149.12886)",0.165239339,3.196933755,0.010928962,0.666666667,1
61,61,1821,-35.279144,149.12558,CITY WEST PLATFORM 1,CITY,"(-35.279144, 149.12558)",0.298336666,3.155799931,0.010928962,0.666666667,1
62,62,1723,-35.278553,149.1306,CITY BUS STN ARRIVALS,CITY,"(-35.278553, 149.1306)",0.165239339,3.268335136,0.010928962,0.666666667,1
63,63,6018,-35.465488,149.106583,TEMPLESTOWE AV AFTER HUMPHREY ST,CONDER,"(-35.465488, 149.106583)",0.203835358,1.203104502,0.010928962,0.222222222,1
64,64,6015,-35.466454,149.108536,TEMPLESTOWE AV AFTER 2ND MONTEFIORE CR,CONDER,"(-35.466454, 149.108536)",0.010960787,1.405884765,0.010928962,0.222222222,1
65,65,6016,-35.466518,149.108444,TEMPLESTOWE AV AFTER KOHLHAGEN ST,CONDER,"(-35.466518, 149.108444)",0.010960787,1.404491838,0.010928962,0.222222222,1
66,66,4512,-35.256199,149.066132,REDFERN ST 2ND BEFORE LYTTLETON CR,COOK,"(-35.256199, 149.066132)",0.19110394,0.441655192,0.005464481,0.588235294,1
67,67,4514,-35.256001,149.068222,REDFERN ST AFTER DEXTER ST,COOK,"(-35.256001, 149.068222)",0.19110394,0.571124311,0.005464481,0.588235294,1
68,68,4645,-35.260685,149.072556,LYTTLETON CR AFTER BOURNE ST,COOK,"(-35.260685, 149.072556)",0.652987291,0.794421419,0.005464481,0.588235294,1
69,69,2812,-35.325386,149.044632,JOHN GORTON DR AFTER HAROLD WHITE AVE,COOMBS,"(-35.325386, 149.044632)",0.132031565,0.72074669,0.00234192,0.434782609,1
70,70,2810,-35.320015,149.037918,JOHN GORTON DR AFTER FRED DALY AVE,COOMBS,"(-35.320015, 149.037918)",0.082266904,0.638303014,0.00234192,0.434782609,1
71,71,3329,-35.319286,149.038071,FRED DALY BEFORE JOHN GORTON,COOMBS,"(-35.319286, 149.038071)",0.082266904,0.613872613,0.00234192,0.434782609,1
72,72,6334,-35.200642,149.104126,ABENA AV AFTER CHANCE ST,CRACE,"(-35.200642, 149.104126)",0.014295381,0.538646022,0.003903201,0.588235294,1
73,73,6335,-35.200768,149.104095,ABENA AV AFTER TAPLOW ST,CRACE,"(-35.200768, 149.104095)",0.014295381,0.527921077,0.003903201,0.588235294,1
74,74,6332,-35.200691,149.113632,LANGTREE CR AFTER DURONG ST,CRACE,"(-35.200691, 149.113632)",0.571947515,0.756933764,0.003903201,0.588235294,1
75,75,2020,-35.320927,149.081589,MCCULLOCH ST AFTER REYNOLDS ST,CURTIN,"(-35.320927, 149.081589)",0.470237702,0.56996804,0.010538642,0.208333333,1
76,76,2017,-35.325825,149.085236,CARRUTHERS ST AFTER YARRA GLEN,CURTIN,"(-35.325825, 149.085236)",0.222364004,0.683008492,0.010538642,0.208333333,1
77,77,2018,-35.324993,149.083008,CARRUTHERS ST CURTIN SHOPS,CURTIN,"(-35.324993, 149.083008)",0.222364004,0.474627312,0.010538642,0.208333333,1
78,78,2304,-35.318466,149.095627,STRICKLAND CR CALVARY JOHN JAMES HOSPITAL,DEAKIN,"(-35.318466, 149.095627)",0.028705245,1.06803077,0.014832162,0.279329609,1
79,79,2305,-35.318363,149.095337,STRICKLAND CR OPP CALVARY JOHN JAMES HOSP.,DEAKIN,"(-35.318363, 149.095337)",0.028705245,1.090672343,0.014832162,0.279329609,1
80,80,2642,-35.31427,149.108826,GAWLER CR AFTER 2ND FERGUSSON CR,DEAKIN,"(-35.31427, 149.108826)",0.770537556,0.253959063,0.014832162,0.279329609,1
81,81,2558,-35.252644,149.139359,COWPER ST DARAMALAN COLLEGE,DICKSON,"(-35.252644, 149.139359)",0.465515283,0.036656537,0.006245121,0.625,1
82,82,3369,-35.256821,149.139679,COWPER ST BEFORE MAJURA AV,DICKSON,"(-35.256821, 149.139679)",0.465515283,0.480639978,0.006245121,0.625,1
83,83,4567,-35.255196,149.13327,NORTHBOURNE AV AFTER MORPHETT ST,DICKSON,"(-35.255196, 149.13327)",0.298505939,0.658306222,0.006245121,0.625,1
84,84,4749,-35.236713,149.142899,FEDERAL HWY AFTER PHILLIP AV,DOWNER,"(-35.236713, 149.142899)",0.307516535,0.850793032,0.006635441,0.625,1
85,85,3246,-35.242367,149.148285,BRADFIELD ST AFTER BURN ST,DOWNER,"(-35.242367, 149.148285)",0.363697013,0.359358447,0.006635441,0.625,1
86,86,3244,-35.243435,149.144501,BRADFIELD ST AFTER FRENCHAM ST,DOWNER,"(-35.243435, 149.144501)",0.363697013,0.093188366,0.006635441,0.625,1
87,87,2410,-35.34256,149.032303,WYANGALA ST AFTER WARANGA PL,DUFFY,"(-35.34256, 149.032303)",0.41435435,0.665092816,0.011319282,0.357142857,1
88,88,2409,-35.33289,149.037338,BURRINJUCK CR AFTER SERPENTINE ST,DUFFY,"(-35.33289, 149.037338)",0.5653413,0.503981793,0.011319282,0.357142857,1
89,89,1637,-35.343933,149.027664,HINDMARSH DR WESTON CREEK TERMINUS,DUFFY,"(-35.343933, 149.027664)",0.404279552,1.018691717,0.011319282,0.357142857,1
90,90,5025,-35.202499,149.021942,GINNINDERRA DR AFTER LANCE HILL AV,DUNLOP,"(-35.202499, 149.021942)",0.502102619,0.792184044,0.011319282,0.277777778,1
