,Stop ID,Stop Latitude,Stop Longitude,Stop Name,Suburb,Location,distance_next_stop,distance_suburb_center,# of Bus Stops (in Suburbs),Population Density
289,4566,-35.274609,149.129517,NORTHBOURNE AV CANBERRA CENTRE APARTMENTS,TURNER,"(-35.274609, 149.129517)",0.080472098,0.825309396,0.007416081,0.666666667
,,,,,,,,,,
290,4527,-35.272488,149.118164,BARRY DR AFTER CLUNIES ROSS ST,TURNER,"(-35.272488, 149.118164)",0.094227472,0.69508841,0.007416081,0.666666667
,,,,,,,,,,
291,1521,-35.396854,149.104095,LONGMORE CR AFTER HARKER PL,WANNIASSA,"(-35.396854, 149.104095)",0.050800326,0.929627418,0.036690086,0.185185185
,,,,,,,,,,
292,1522,-35.397308,149.104156,LONGMORE CR 4TH AFTER GAUNSON ST,WANNIASSA,"(-35.397308, 149.104156)",0.050800326,0.896663903,0.036690086,0.185185185
,,,,,,,,,,
293,1519,-35.398785,149.102921,LONGMORE CR AFTER PETIT PL,WANNIASSA,"(-35.398785, 149.102921)",0.017690899,0.701901786,0.036690086,0.185185185
,,,,,,,,,,
294,2415,-35.352478,149.060608,NEMERANG CR WARAMANGA SHOPS,WARAMANGA,"(-35.352478, 149.060608)",0.022468426,0.22463481,0.007416081,0.588235294
,,,,,,,,,,
295,2418,-35.355404,149.060379,NEMARANG CR AFTER DALABON CR,WARAMANGA,"(-35.355404, 149.060379)",0.015285314,0.357821699,0.007416081,0.588235294
,,,,,,,,,,
296,2419,-35.357395,149.059464,YAMBINA CR AFTER BADIMARA ST,WARAMANGA,"(-35.357395, 149.059464)",0.040732853,0.584701518,0.007416081,0.588235294
,,,,,,,,,,
297,3248,-35.23798,149.153641,KNOX ST 2ND AFTER DICKINSON ST,WATSON,"(-35.23798, 149.153641)",0.131540062,0.04821433,0.007025761,0.27027027
,,,,,,,,,,
298,3250,-35.234707,149.151703,KNOX ST AFTER PIDDINGTON ST,WATSON,"(-35.234707, 149.151703)",0.264953397,0.429646175,0.007025761,0.27027027
,,,,,,,,,,
299,3252,-35.232521,149.153198,KNOX ST OPP OLD WATSON TERMINUS,WATSON,"(-35.232521, 149.153198)",0.24480521,0.646584126,0.007025761,0.27027027
,,,,,,,,,,
300,4893,-35.243343,149.048126,BELCONNEN WY BEFORE SPRINGVALE DR,WEETANGERA,"(-35.243343, 149.048126)",0.029998436,0.744701156,0.006245121,0.625
,,,,,,,,,,
301,4440,-35.251377,149.049179,SHUMACK ST OPPOSITE WEETANGERA PRIMARY,WEETANGERA,"(-35.251377, 149.049179)",0.063774198,0.154024079,0.006245121,0.625
,,,,,,,,,,
302,4437,-35.253723,149.051651,SHUMACK ST AFTER COULTER DR,WEETANGERA,"(-35.253723, 149.051651)",0.017492776,0.479029823,0.006245121,0.625
,,,,,,,,,,
303,1246,-35.340843,149.052338,BRIERLY ST COOLEMAN CT PLT1,WESTON,"(-35.340843, 149.052338)",0.016128326,0.682193428,0.014441842,0.322580645
,,,,,,,,,,
304,1247,-35.340981,149.050278,STREETON DR BEFORE HINDMARSH DR,WESTON,"(-35.340981, 149.050278)",0.186911289,0.858041593,0.014441842,0.322580645
,,,,,,,,,,
305,1809,-35.32259,149.057617,OPP NORTH WESTON PARK & RIDE,WESTON,"(-35.32259, 149.057617)",0.117981812,1.718640048,0.014441842,0.322580645
,,,,,,,,,,
306,2811,-35.32478,149.043381,JOHN GORTON DR AFTER COTTER RD,WRIGHT,"(-35.32478, 149.043381)",0.132031565,1.279247605,0.0019516,0.769230769
,,,,,,,,,,
307,2806,-35.320232,149.036819,STEVE IRWIN AVE AFTER JOHN GORTON DR,WRIGHT,"(-35.320232, 149.036819)",0.092020302,0.499370912,0.0019516,0.769230769
,,,,,,,,,,
308,2809,-35.319416,149.036652,JOHN GORTON DR AFTER STEVE IRWIN AVE,WRIGHT,"(-35.319416, 149.036652)",0.092020302,0.426702976,0.0019516,0.769230769
,,,,,,,,,,
309,2448,-35.312031,149.098297,NOVAR ST BEFORE KINTORE CR,YARRALUMLA,"(-35.312031, 149.098297)",0.011898566,0.77203515,0.006635441,0.113507378
,,,,,,,,,,
310,2449,-35.31015,149.098282,NOVAR ST AFTER WESTON ST,YARRALUMLA,"(-35.31015, 149.098282)",0.00786696,0.562848351,0.006635441,0.113507378
,,,,,,,,,,
311,2452,-35.303772,149.099091,SCHLICH ST AFTER NOVAR ST,YARRALUMLA,"(-35.303772, 149.099091)",0.033831848,0.172284783,0.006635441,0.113507378
,,,,,,,,,,
,,-35.270962,149.111607,,ACTON,,,,,
,,,,,,,,,,
,,-35.281867,149.113571,,ACTON,,,,,
,,,,,,,,,,
,,-35.279784,149.11097,,ACTON,,,,,
,,,,,,,,,,
,,-35.25913,149.153462,,AINSLIE,,,,,
,,,,,,,,,,
,,-35.252629,149.150801,,AINSLIE,,,,,
,,,,,,,,,,
,,-35.255643,149.156681,,AINSLIE,,,,,
,,,,,,,,,,
,,-35.170135,149.124525,,AMAROO,,,,,
,,,,,,,,,,
,,-35.165329, 149.135104,,AMAROO,,,,,
,,,,,,,,,,
,,-35.173093,149.126439,,AMAROO,,,,,
,,,,,,,,,,
,,-35.262887,149.079352,,ARANDA,,,,,
,,,,,,,,,,
,,-35.261240,149.083987,,ARANDA,,,,,
,,,,,,,,,,
,,-35.253986,149.083171,,ARANDA,,,,,
,,,,,,,,,,
,,-35.467981,149.100251,,BANKS,,,,,
,,,,,,,,,,
,,-35.469151, 149.107182,,BANKS,,,,,
,,,,,,,,,,
,,-35.478815,149.101839,,BANKS,,,,,
,,,,,,,,,,
,,-35.305083, 149.139671,,BARTON,,,,,
,,,,,,,,,,
,,-35.312630,149.136538,,BARTON,,,,,
,,,,,,,,,,
,,-35.315764,149.135036,,BARTON,,,,,
,,,,,,,,,,
,,-35.242542,149.064456,,BELCONNEN,,,,,
,,,,,,,,,,
,,-35.242910,149.070271,,BELCONNEN,,,,,
,,,,,,,,,,
,,-35.230975,149.061559,,BELCONNEN,,,,,
,,,,,,,,,,
,,-35.154156,149.147067,,BONNER,,,,,
,,,,,,,,,,
,,-35.160384,149.132476,,BONNER,,,,,
,,,,,,,,,,
,,-35.157419,149.141638,,BONNER,,,,,
,,,,,,,,,,
,,-35.437766,149.088175,,BONYTHON,,,,,
,,,,,,,,,,
,,-35.427486, 149.078969,,BONYTHON,,,,,
,,,,,,,,,,
,,-35.431473,149.072274,,BONYTHON,,,,,
,,,,,,,,,,
,,-35.262566, 149.133138,,BRADDON,,,,,
,,,,,,,,,,
,,-35.270764,149.140306,,BRADDON,,,,,
,,,,,,,,,,
,,-35.269906,149.138675,,BRADDON,,,,,
,,,,,,,,,,
,,-35.243544, 149.079649,,BRUCE,,,,,
,,,,,,,,,,
,,-35.239723, 149.096912,,BRUCE,,,,,
,,,,,,,,,,
,,-35.236516,149.094316,,BRUCE,,,,,
,,,,,,,,,,
,,-35.438575,149.106582,,CALWELL,,,,,
,,,,,,,,,,
,,-35.443610, 149.112226,,CALWELL,,,,,
,,,,,,,,,,
,,-35.439432,149.105059,,CALWELL,,,,,
,,,,,,,,,,
,,-35.296623,149.160871,,CAMPBELL,,,,,
,,,,,,,,,,
,,-35.290510,149.161021,,CAMPBELL,,,,,
,,,,,,,,,,
,,-35.287112,149.162008,,CAMPBELL,,,,,
,,,,,,,,,,
,,-35.297735, 149.186500,,CANBERRA AIRPORT,,,,,
,,,,,,,,,,
,,-35.305089,149.205169,,CANBERRA AIRPORT,,,,,
,,,,,,,,,,
,,-35.309292, 149.180663,,CANBERRA AIRPORT,,,,,
,,,,,,,,,,
,,-35.310228, 149.123303,,CAPITAL HILL,,,,,
,,,,,,,,,,
,,-35.310438,149.122455,,CAPITAL HILL,,,,,
,,,,,,,,,,
,,-35.309702, 149.127337,,CAPITAL HILL,,,,,
,,,,,,,,,,
,,-35.156211,149.098864,,CASEY,,,,,
,,,,,,,,,,
,,-35.160001, 149.097105,,CASEY,,,,,
,,,,,,,,,,
,,-35.169540, 149.091067,,CASEY,,,,,
,,,,,,,,,,
,,-35.362934,149.045066,,CHAPMAN,,,,,
,,,,,,,,,,
,,-35.358183,149.035259,,CHAPMAN,,,,,
,,,,,,,,,,
,,-35.363747,149.047405,,CHAPMAN,,,,,
,,,,,,,,,,
,,-35.197762,149.039816,,CHARNWOOD,,,,,
,,,,,,,,,,
,,-35.199498, 149.034473,,CHARNWOOD,,,,,
,,,,,,,,,,
,,-35.197534,149.039859,,CHARNWOOD,,,,,
,,,,,,,,,,
,,-35.352441,149.082427,,CHIFLEY,,,,,
,,,,,,,,,,
,,-35.350271,149.082341,,CHIFLEY,,,,,
,,,,,,,,,,
,,-35.354419,149.081312,,CHIFLEY,,,,,
,,,,,,,,,,
,,-35.422334, 149.119009,,CHISHOLM,,,,,
,,,,,,,,,,
,,-35.418785,149.122528,,CHISHOLM,,,,,
,,,,,,,,,,
,,-35.419169, 149.119009,,CHISHOLM,,,,,
,,,,,,,,,,
,,-35.276321,149.130889,,CITY,,,,,
,,,,,,,,,,
,,-35.276321, 149.128057,,CITY,,,,,
,,,,,,,,,,
,,-35.282618,149.133807,,CITY,,,,,
,,,,,,,,,,
,,-35.467704,149.111611,,CONDER,,,,,
,,,,,,,,,,
,,-35.452243,149.093935,,CONDER,,,,,
,,,,,,,,,,
,,-35.461892,149.097003,,CONDER,,,,,
,,,,,,,,,,
,,-35.257104, 149.071080,,COOK,,,,,
,,,,,,,,,,
,,-35.264953, 149.066488,,COOK,,,,,
,,,,,,,,,,
,,-35.258663,149.057669,,COOK,,,,,
,,,,,,,,,,
,,-35.315404, 149.040945,,COOMBS,,,,,
,,,,,,,,,,
,,-35.322985,149.046889,,COOMBS,,,,,
,,,,,,,,,,
,,-35.319010, 149.042318,,COOMBS,,,,,
,,,,,,,,,,
,,-35.203299,149.102313,,CRACE,,,,,
,,,,,,,,,,
,,-35.207279, 149.108923,,CRACE,,,,,
,,,,,,,,,,
,,-35.198231,149.107506,,CRACE,,,,,
,,,,,,,,,,
,,-35.318272,149.074663,,CURTIN,,,,,
,,,,,,,,,,
,,-35.320898,149.085843,,CURTIN,,,,,
,,,,,,,,,,
,,-35.324452,149.071381,,CURTIN,,,,,
,,,,,,,,,,
,,-35.312364,149.111593,,DEAKIN,,,,,
,,,,,,,,,,
,,-35.314833, 149.100242,,DEAKIN,,,,,
,,,,,,,,,,
,,-35.319140,149.102410,,DEAKIN,,,,,
,,,,,,,,,,
,,-35.251062,149.146585,,DICKSON,,,,,
,,,,,,,,,,
,,-35.253165,149.143560,,DICKSON,,,,,
,,,,,,,,,,
,,-35.254269,149.144118,,DICKSON,,,,,
,,,,,,,,,,
,,-35.239911,149.141419,,DOWNER,,,,,
,,,,,,,,,,
,,-35.241768,149.137943,,DOWNER,,,,,
,,,,,,,,,,
,,-35.244537,149.137900,,DOWNER,,,,,
,,,,,,,,,,
,,-35.327047,149.026674,,DUFFY,,,,,
,,,,,,,,,,
,,-35.341698,149.027125,,DUFFY,,,,,
,,,,,,,,,,
,,-35.337182, 149.034227,,DUFFY,,,,,
,,,,,,,,,,
,,-35.196250,149.015692,,DUNLOP,,,,,
,,,,,,,,,,
,,-35.191024,149.019619,,DUNLOP,,,,,
,,,,,,,,,,
,,-35.193198,149.025734,,DUNLOP,,,,,
,,,,,,,,,,
,,-35.202843,149.074569,,EVATT,,,,,
,,,,,,,,,,
,,-35.212643, 149.072274,,EVATT,,,,,
,,,,,,,,,,
,,-35.212517,149.072667,,EVATT,,,,,
,,,,,,,,,,
,,-35.402915, 149.116004,,FADDEN,,,,,
,,,,,,,,,,
,,-35.405197,149.118027,,FADDEN,,,,,
,,,,,,,,,,
,,-35.404200, 149.115023,,FADDEN,,,,,
,,,,,,,,,,
,,-35.373124, 149.097139,,FARRER,,,,,
,,,,,,,,,,
,,-35.383026,149.109392,,FARRER,,,,,
,,,,,,,,,,
,,-35.381364,149.110229,,FARRER,,,,,
,,,,,,,,,,
,,-35.364415, 149.052800,,FISHER,,,,,
,,,,,,,,,,
,,-35.365325,149.058143,,FISHER,,,,,
,,,,,,,,,,
,,-35.356418,149.050783,,FISHER,,,,,
,,,,,,,,,,
,,-35.228520, 149.049848,,FLOREY,,,,,
,,,,,,,,,,
,,-35.225803,149.040621,,FLOREY,,,,,
,,,,,,,,,,
,,-35.228117, 149.050213,,FLOREY,,,,,
,,,,,,,,,,
,,-35.203916,149.042231,,FLYNN,,,,,
,,,,,,,,,,
,,-35.201233,149.045085,,FLYNN,,,,,
,,,,,,,,,,
,,-35.204144,149.048454,,FLYNN,,,,,
,,,,,,,,,,
,,-35.164729, 149.144208,,FORDE,,,,,
,,,,,,,,,,
,,-35.169009,149.142040,,FORDE,,,,,
,,,,,,,,,,
,,-35.170079,149.148092,,FORDE,,,,,
,,,,,,,,,,
,,-35.314309,149.125052,,FORREST,,,,,
,,,,,,,,,,
,,-35.317828,149.128829,,FORREST,,,,,
,,,,,,,,,,
,,-35.317548,149.119344,,FORREST,,,,,
,,,,,,,,,,
,,-35.202022,149.135915,,FRANKLIN,,,,,
,,,,,,,,,,
,,-35.203828,149.144198,,FRANKLIN,,,,,
,,,,,,,,,,
,,-35.201794,149.137503,,FRANKLIN,,,,,
,,,,,,,,,,
,,-35.192954,149.055945,,FRASER,,,,,
,,,,,,,,,,
,,-35.189272,149.038714,,FRASER,,,,,
,,,,,,,,,,
,,-35.191341,149.033972,,FRASER,,,,,
,,,,,,,,,,
,,-35.333807,149.177280,,FYSHWICK,,,,,
,,,,,,,,,,
,,-35.330901,149.184984,,FYSHWICK,,,,,
,,,,,,,,,,
,,-35.324441, 149.167238,,FYSHWICK,,,,,
,,,,,,,,,,
,,-35.338304,149.111211,,GARRAN,,,,,
,,,,,,,,,,
,,-35.342435,149.100955,,GARRAN,,,,,
,,,,,,,,,,
,,-35.337586,149.110653,,GARRAN,,,,,
,,,,,,,,,,
,,,,,GILMORE,,,,,
,,,,,,,,,,
,,,,,GILMORE,,,,,
,,,,,,,,,,
,,,,,GILMORE,,,,,
,,,,,,,,,,
,,,,,GIRALANG,,,,,
,,,,,,,,,,
,,,,,GIRALANG,,,,,
,,,,,,,,,,
,,,,,GIRALANG,,,,,
,,,,,,,,,,
,,,,,GORDON,,,,,
,,,,,,,,,,
,,,,,GORDON,,,,,
,,,,,,,,,,
,,,,,GORDON,,,,,
,,,,,,,,,,
,,,,,GOWRIE,,,,,
,,,,,,,,,,
,,,,,GOWRIE,,,,,
,,,,,,,,,,
,,,,,GOWRIE,,,,,
,,,,,,,,,,
,,,,,GREENWAY,,,,,
,,,,,,,,,,
,,,,,GREENWAY,,,,,
,,,,,,,,,,
,,,,,GREENWAY,,,,,
,,,,,,,,,,
,,,,,GRIFFITH,,,,,
,,,,,,,,,,
,,,,,GRIFFITH,,,,,
,,,,,,,,,,
,,,,,GRIFFITH,,,,,
,,,,,,,,,,
,,,,,GUNGAHLIN,,,,,
,,,,,,,,,,
,,,,,GUNGAHLIN,,,,,
,,,,,,,,,,
,,,,,GUNGAHLIN,,,,,
,,,,,,,,,,
,,,,,HACKETT,,,,,
,,,,,,,,,,
,,,,,HACKETT,,,,,
,,,,,,,,,,
,,,,,HACKETT,,,,,
,,,,,,,,,,
,,,,,HARRISON,,,,,
,,,,,,,,,,
,,,,,HARRISON,,,,,
,,,,,,,,,,
,,,,,HARRISON,,,,,
,,,,,,,,,,
,,,,,HAWKER,,,,,
,,,,,,,,,,
,,,,,HAWKER,,,,,
,,,,,,,,,,
,,,,,HAWKER,,,,,
,,,,,,,,,,
,,,,,HIGGINS,,,,,
,,,,,,,,,,
,,,,,HIGGINS,,,,,
,,,,,,,,,,
,,,,,HIGGINS,,,,,
,,,,,,,,,,
,,,,,HOLDER,,,,,
,,,,,,,,,,
,,,,,HOLDER,,,,,
,,,,,,,,,,
,,,,,HOLDER,,,,,
,,,,,,,,,,
,,,,,HOLT,,,,,
,,,,,,,,,,
,,,,,HOLT,,,,,
,,,,,,,,,,
,,,,,HOLT,,,,,
,,,,,,,,,,
,,,,,HUGHES,,,,,
,,,,,,,,,,
,,,,,HUGHES,,,,,
,,,,,,,,,,
,,,,,HUGHES,,,,,
,,,,,,,,,,
,,,,,HUME,,,,,
,,,,,,,,,,
,,,,,HUME,,,,,
,,,,,,,,,,
,,,,,HUME,,,,,
,,,,,,,,,,
,,,,,ISAACS,,,,,
,,,,,,,,,,
,,,,,ISAACS,,,,,
,,,,,,,,,,
,,,,,ISAACS,,,,,
,,,,,,,,,,
,,,,,ISABELLA PLAINS,,,,,
,,,,,,,,,,
,,,,,ISABELLA PLAINS,,,,,
,,,,,,,,,,
,,,,,ISABELLA PLAINS,,,,,
,,,,,,,,,,
,,,,,KALEEN,,,,,
,,,,,,,,,,
,,,,,KALEEN,,,,,
,,,,,,,,,,
,,,,,KALEEN,,,,,
,,,,,,,,,,
,,,,,KAMBAH,,,,,
,,,,,,,,,,
,,,,,KAMBAH,,,,,
,,,,,,,,,,
,,,,,KAMBAH,,,,,
,,,,,,,,,,
,,,,,KINGSTON,,,,,
,,,,,,,,,,
,,,,,KINGSTON,,,,,
,,,,,,,,,,
,,,,,KINGSTON,,,,,
,,,,,,,,,,
,,,,,LATHAM,,,,,
,,,,,,,,,,
,,,,,LATHAM,,,,,
,,,,,,,,,,
,,,,,LATHAM,,,,,
,,,,,,,,,,
,,,,,LAWSON,,,,,
,,,,,,,,,,
,,,,,LAWSON,,,,,
,,,,,,,,,,
,,,,,LAWSON,,,,,
,,,,,,,,,,
,,,,,LYNEHAM,,,,,
,,,,,,,,,,
,,,,,LYNEHAM,,,,,
,,,,,,,,,,
,,,,,LYNEHAM,,,,,
,,,,,,,,,,
,,,,,LYONS,,,,,
,,,,,,,,,,
,,,,,LYONS,,,,,
,,,,,,,,,,
,,,,,LYONS,,,,,
,,,,,,,,,,
,,,,,MACGREGOR,,,,,
,,,,,,,,,,
,,,,,MACGREGOR,,,,,
,,,,,,,,,,
,,,,,MACGREGOR,,,,,
,,,,,,,,,,
,,,,,MACQUARIE,,,,,
,,,,,,,,,,
,,,,,MACQUARIE,,,,,
,,,,,,,,,,
,,,,,MACQUARIE,,,,,
,,,,,,,,,,
,,,,,MAWSON,,,,,
,,,,,,,,,,
,,,,,MAWSON,,,,,
,,,,,,,,,,
,,,,,MAWSON,,,,,
,,,,,,,,,,
,,,,,MCKELLAR,,,,,
,,,,,,,,,,
,,,,,MCKELLAR,,,,,
,,,,,,,,,,
,,,,,MCKELLAR,,,,,
,,,,,,,,,,
,,,,,MELBA,,,,,
,,,,,,,,,,
,,,,,MELBA,,,,,
,,,,,,,,,,
,,,,,MELBA,,,,,
,,,,,,,,,,
,,,,,MITCHELL,,,,,
,,,,,,,,,,
,,,,,MITCHELL,,,,,
,,,,,,,,,,
,,,,,MITCHELL,,,,,
,,,,,,,,,,
,,,,,MONASH,,,,,
,,,,,,,,,,
,,,,,MONASH,,,,,
,,,,,,,,,,
,,,,,MONASH,,,,,
,,,,,,,,,,
,,,,,NARRABUNDAH,,,,,
,,,,,,,,,,
,,,,,NARRABUNDAH,,,,,
,,,,,,,,,,
,,,,,NARRABUNDAH,,,,,
,,,,,,,,,,
,,,,,NGUNNAWAL,,,,,
,,,,,,,,,,
,,,,,NGUNNAWAL,,,,,
,,,,,,,,,,
,,,,,NGUNNAWAL,,,,,
,,,,,,,,,,
,,,,,NICHOLLS,,,,,
,,,,,,,,,,
,,,,,NICHOLLS,,,,,
,,,,,,,,,,
,,,,,NICHOLLS,,,,,
,,,,,,,,,,
,,,,,O'CONNOR,,,,,
,,,,,,,,,,
,,,,,O'CONNOR,,,,,
,,,,,,,,,,
,,,,,O'CONNOR,,,,,
,,,,,,,,,,
,,,,,O'MALLEY,,,,,
,,,,,,,,,,
,,,,,O'MALLEY,,,,,
,,,,,,,,,,
,,,,,O'MALLEY,,,,,
,,,,,,,,,,
,,,,,OXLEY,,,,,
,,,,,,,,,,
,,,,,OXLEY,,,,,
,,,,,,,,,,
,,,,,OXLEY,,,,,
,,,,,,,,,,
,,,,,PAGE,,,,,
,,,,,,,,,,
,,,,,PAGE,,,,,
,,,,,,,,,,
,,,,,PAGE,,,,,
,,,,,,,,,,
,,,,,PALMERSTON,,,,,
,,,,,,,,,,
,,,,,PALMERSTON,,,,,
,,,,,,,,,,
,,,,,PALMERSTON,,,,,
,,,,,,,,,,
,,,,,PARKES,,,,,
,,,,,,,,,,
,,,,,PARKES,,,,,
,,,,,,,,,,
,,,,,PARKES,,,,,
,,,,,,,,,,
,,,,,PEARCE,,,,,
,,,,,,,,,,
,,,,,PEARCE,,,,,
,,,,,,,,,,
,,,,,PEARCE,,,,,
,,,,,,,,,,
,,,,,PHILLIP,,,,,
,,,,,,,,,,
,,,,,PHILLIP,,,,,
,,,,,,,,,,
,,,,,PHILLIP,,,,,
,,,,,,,,,,
,,,,,RED HILL,,,,,
,,,,,,,,,,
,,,,,RED HILL,,,,,
,,,,,,,,,,
,,,,,RED HILL,,,,,
,,,,,,,,,,
,,,,,REID,,,,,
,,,,,,,,,,
,,,,,REID,,,,,
,,,,,,,,,,
,,,,,REID,,,,,
,,,,,,,,,,
,,,,,RICHARDSON,,,,,
,,,,,,,,,,
,,,,,RICHARDSON,,,,,
,,,,,,,,,,
,,,,,RICHARDSON,,,,,
,,,,,,,,,,
,,,,,RIVETT,,,,,
,,,,,,,,,,
,,,,,RIVETT,,,,,
,,,,,,,,,,
,,,,,RIVETT,,,,,
,,,,,,,,,,
,,,,,RUSSELL,,,,,
,,,,,,,,,,
,,,,,RUSSELL,,,,,
,,,,,,,,,,
,,,,,RUSSELL,,,,,
,,,,,,,,,,
,,,,,SCULLIN,,,,,
,,,,,,,,,,
,,,,,SCULLIN,,,,,
,,,,,,,,,,
,,,,,SCULLIN,,,,,
,,,,,,,,,,
,,,,,SPENCE,,,,,
,,,,,,,,,,
,,,,,SPENCE,,,,,
,,,,,,,,,,
,,,,,SPENCE,,,,,
,,,,,,,,,,
,,,,,STIRLING,,,,,
,,,,,,,,,,
,,,,,STIRLING,,,,,
,,,,,,,,,,
,,,,,STIRLING,,,,,
,,,,,,,,,,
,,,,,SYMONSTON,,,,,
,,,,,,,,,,
,,,,,SYMONSTON,,,,,
,,,,,,,,,,
,,,,,SYMONSTON,,,,,
,,,,,,,,,,
,,,,,THEODORE,,,,,
,,,,,,,,,,
,,,,,THEODORE,,,,,
,,,,,,,,,,
,,,,,THEODORE,,,,,
,,,,,,,,,,
,,,,,TORRENS,,,,,
,,,,,,,,,,
,,,,,TORRENS,,,,,
,,,,,,,,,,
,,,,,TORRENS,,,,,
,,,,,,,,,,
,,,,,TURNER,,,,,
,,,,,,,,,,
,,,,,TURNER,,,,,
,,,,,,,,,,
,,,,,TURNER,,,,,
,,,,,,,,,,
,,,,,WANNIASSA,,,,,
,,,,,,,,,,
,,,,,WANNIASSA,,,,,
,,,,,,,,,,
,,,,,WANNIASSA,,,,,
,,,,,,,,,,
,,,,,WARAMANGA,,,,,
,,,,,,,,,,
,,,,,WARAMANGA,,,,,
,,,,,,,,,,
,,,,,WARAMANGA,,,,,
,,,,,,,,,,
,,,,,WATSON,,,,,
,,,,,,,,,,
,,,,,WATSON,,,,,
,,,,,,,,,,
,,,,,WATSON,,,,,
,,,,,,,,,,
,,,,,WEETANGERA,,,,,
,,,,,,,,,,
,,,,,WEETANGERA,,,,,
,,,,,,,,,,
,,,,,WEETANGERA,,,,,
,,,,,,,,,,
,,,,,WESTON,,,,,
,,,,,,,,,,
,,,,,WESTON,,,,,
,,,,,,,,,,
,,,,,WESTON,,,,,
,,,,,,,,,,
,,,,,WRIGHT,,,,,
,,,,,,,,,,
,,,,,WRIGHT,,,,,
,,,,,,,,,,
,,,,,WRIGHT,,,,,
,,,,,,,,,,
,,,,,YARRALUMLA,,,,,
,,,,,,,,,,
,,,,,YARRALUMLA,,,,,
,,,,,,,,,,
,,,,,YARRALUMLA,,,,,
