,Stop ID,Stop Latitude,Stop Longitude,Stop Name,Suburb,Location,distance_next_stop,distance_suburb_center,# of Bus Stops (in Suburbs),Population Density
57,1500,-35.418312,149.11557,BEATTIE CR AFTER GOLDSTEIN CR,CHISHOLM,"(-35.418312, 149.11557)",0.045307745,0.90482276,0.016003123,0.322580645
,,,,,,,,,,
58,1003,-35.418968,149.120026,HAMBIDGE CR AFTER TRUGANINI PL,CHISHOLM,"(-35.418968, 149.120026)",0.007963839,0.620241786,0.016003123,0.322580645
,,,,,,,,,,
59,1121,-35.429241,149.121445,DEAMER CR AFTER CLIFT CR,CHISHOLM,"(-35.429241, 149.121445)",0.047436493,0.572423314,0.016003123,0.322580645
,,,,,,,,,,
60,8831,-35.278988,149.12886,CITY BUS STN NORTHBOURNE AV PLT 11,CITY,"(-35.278988, 149.12886)",0.052727507,3.196933755,0.010928962,0.666666667
,,,,,,,,,,
61,1821,-35.279144,149.12558,CITY WEST PLATFORM 1,CITY,"(-35.279144, 149.12558)",0.164789302,3.155799931,0.010928962,0.666666667
,,,,,,,,,,
62,1723,-35.278553,149.1306,CITY BUS STN ARRIVALS,CITY,"(-35.278553, 149.1306)",0.022002622,3.268335136,0.010928962,0.666666667
,,,,,,,,,,
63,6018,-35.465488,149.106583,TEMPLESTOWE AV AFTER HUMPHREY ST,CONDER,"(-35.465488, 149.106583)",0.063263203,1.203104502,0.010928962,0.222222222
,,,,,,,,,,
64,6015,-35.466454,149.108536,TEMPLESTOWE AV AFTER 2ND MONTEFIORE CR,CONDER,"(-35.466454, 149.108536)",0.010960787,1.405884765,0.010928962,0.222222222
,,,,,,,,,,
65,6016,-35.466518,149.108444,TEMPLESTOWE AV AFTER KOHLHAGEN ST,CONDER,"(-35.466518, 149.108444)",0.010960787,1.404491838,0.010928962,0.222222222
,,,,,,,,,,
66,4512,-35.256199,149.066132,REDFERN ST 2ND BEFORE LYTTLETON CR,COOK,"(-35.256199, 149.066132)",0.01234373,0.441655192,0.005464481,0.588235294
,,,,,,,,,,
67,4514,-35.256001,149.068222,REDFERN ST AFTER DEXTER ST,COOK,"(-35.256001, 149.068222)",0.024007424,0.571124311,0.005464481,0.588235294
,,,,,,,,,,
68,4645,-35.260685,149.072556,LYTTLETON CR AFTER BOURNE ST,COOK,"(-35.260685, 149.072556)",0.025368021,0.794421419,0.005464481,0.588235294
,,,,,,,,,,
69,2812,-35.325386,149.044632,JOHN GORTON DR AFTER HAROLD WHITE AVE,COOMBS,"(-35.325386, 149.044632)",0.132031565,0.72074669,0.00234192,0.434782609
,,,,,,,,,,
70,2810,-35.320015,149.037918,JOHN GORTON DR AFTER FRED DALY AVE,COOMBS,"(-35.320015, 149.037918)",0.082266904,0.638303014,0.00234192,0.434782609
,,,,,,,,,,
71,3329,-35.319286,149.038071,FRED DALY BEFORE JOHN GORTON,COOMBS,"(-35.319286, 149.038071)",0.042739216,0.613872613,0.00234192,0.434782609
,,,,,,,,,,
72,6334,-35.200642,149.104126,ABENA AV AFTER CHANCE ST,CRACE,"(-35.200642, 149.104126)",0.014295381,0.538646022,0.003903201,0.588235294
,,,,,,,,,,
73,6335,-35.200768,149.104095,ABENA AV AFTER TAPLOW ST,CRACE,"(-35.200768, 149.104095)",0.014295381,0.527921077,0.003903201,0.588235294
,,,,,,,,,,
74,6332,-35.200691,149.113632,LANGTREE CR AFTER DURONG ST,CRACE,"(-35.200691, 149.113632)",0.037506321,0.756933764,0.003903201,0.588235294
,,,,,,,,,,
75,2020,-35.320927,149.081589,MCCULLOCH ST AFTER REYNOLDS ST,CURTIN,"(-35.320927, 149.081589)",0.082812279,0.56996804,0.010538642,0.208333333
,,,,,,,,,,
76,2017,-35.325825,149.085236,CARRUTHERS ST AFTER YARRA GLEN,CURTIN,"(-35.325825, 149.085236)",0.039477264,0.683008492,0.010538642,0.208333333
,,,,,,,,,,
77,2018,-35.324993,149.083008,CARRUTHERS ST CURTIN SHOPS,CURTIN,"(-35.324993, 149.083008)",0.047599808,0.474627312,0.010538642,0.208333333
,,,,,,,,,,
78,2304,-35.318466,149.095627,STRICKLAND CR CALVARY JOHN JAMES HOSPITAL,DEAKIN,"(-35.318466, 149.095627)",0.028705245,1.06803077,0.014832162,0.279329609
,,,,,,,,,,
79,2305,-35.318363,149.095337,STRICKLAND CR OPP CALVARY JOHN JAMES HOSP.,DEAKIN,"(-35.318363, 149.095337)",0.028705245,1.090672343,0.014832162,0.279329609
,,,,,,,,,,
80,2642,-35.31427,149.108826,GAWLER CR AFTER 2ND FERGUSSON CR,DEAKIN,"(-35.31427, 149.108826)",0.00841725,0.253959063,0.014832162,0.279329609
,,,,,,,,,,
81,2558,-35.252644,149.139359,COWPER ST DARAMALAN COLLEGE,DICKSON,"(-35.252644, 149.139359)",0.012801243,0.036656537,0.006245121,0.625
,,,,,,,,,,
82,3369,-35.256821,149.139679,COWPER ST BEFORE MAJURA AV,DICKSON,"(-35.256821, 149.139679)",0.117729851,0.480639978,0.006245121,0.625
,,,,,,,,,,
83,4567,-35.255196,149.13327,NORTHBOURNE AV AFTER MORPHETT ST,DICKSON,"(-35.255196, 149.13327)",0.201423443,0.658306222,0.006245121,0.625
,,,,,,,,,,
84,4749,-35.236713,149.142899,FEDERAL HWY AFTER PHILLIP AV,DOWNER,"(-35.236713, 149.142899)",0.145995806,0.850793032,0.006635441,0.625
,,,,,,,,,,
85,3246,-35.242367,149.148285,BRADFIELD ST AFTER BURN ST,DOWNER,"(-35.242367, 149.148285)",0.036761987,0.359358447,0.006635441,0.625
,,,,,,,,,,
